id, d, s,c,score,,,
950,2929408.743,0.016,2851771.978,-0.05230269,,,
960,1975436.887,0.014,2244049.361,0.290442011,,,
970,7108829.579,0.014,1951695.446,-0.924624902,,,
980,2458906.123,0.015,3006522.626,0.4950133,,,
990,3554189.217,0.015,4179213.766,0.382636704,,,
1000,5039930.74,0.015,2680367.522,-0.717160828,,,
1001,2.35E+08,0.091,6980325.459,-0.999115928,,,
1020,2.31E+08,0.094,8486804.91,-0.998646984,,,
1040,1.16E+08,0.094,6286661.537,-0.997056059,,,
1060,3.17E+08,0.092,1.24E+07,-0.998467146,,,
1080,1.26E+08,0.103,5977299.86,-0.997740026,,,
1100,3.81E+08,0.094,8866485.637,-0.999458551,,,
1120,1.27E+08,0.095,9181844.075,-0.994744004,,,
1140,1.89E+08,0.094,6507533.802,-0.998810576,,,
1160,6.28E+08,0.099,1.36E+07,-0.999530471,,,
1180,3.13E+08,0.101,5060466.117,-0.999737847,,,
1200,3.60E+08,0.108,7375648.495,-0.999580008,,,
1220,2.74E+08,0.095,1.18E+07,-0.998143125,,,
1240,1.97E+08,0.089,1.06E+07,-0.997094089,,,
1260,1.90E+08,0.093,1.58E+07,-0.993088107,,,
1280,2.71E+08,0.094,3981796.839,-0.999784598,,,
1300,1.80E+08,0.105,9659310.184,-0.997119638,,,
1320,4.36E+08,0.095,1.05E+07,-0.999420438,,,
1340,3.29E+08,0.091,1.51E+07,-0.997896182,,,
1360,3.02E+08,0.098,8658899.244,-0.999180373,,,
1380,2.31E+08,0.091,9403196.361,-0.998346542,,,
1400,3.85E+08,0.094,1.28E+07,-0.998892338,,,
1420,2.29E+08,0.092,1.01E+07,-0.998049565,,,
1440,3.26E+08,0.096,9378419.03,-0.999170332,,,
1460,2.71E+08,0.092,1.23E+07,-0.997940412,,,
1480,3.50E+08,0.094,8117617.141,-0.999462677,,,
1500,4.49E+08,0.09,1.63E+07,-0.998680217,,,
1520,3.51E+08,0.091,8816856.109,-0.999370182,,,
1540,2.55E+08,0.095,8093298.636,-0.998990427,,,
1560,6.93E+08,0.104,2.18E+07,-0.999009623,,,
1580,3.25E+08,0.093,2.08E+07,-0.995896496,,,
1600,5.70E+08,0.091,1.11E+07,-0.999621015,,,
1620,3.00E+08,0.094,1.03E+07,-0.998819096,,,
1640,4.25E+08,0.092,1.06E+07,-0.999378354,,,
1660,4.50E+08,0.09,3.27E+07,-0.994716031,,,
1680,7.11E+08,0.095,1.19E+07,-0.999719778,,,
1700,6.27E+08,0.09,2.03E+07,-0.998951147,,,
1720,4.89E+08,0.091,1.16E+07,-0.999438361,,,
1740,3.54E+08,0.087,2.72E+07,-0.994103147,,,
1760,5.79E+08,0.091,2.53E+07,-0.998088898,,,
1780,5.46E+08,0.091,1.53E+07,-0.999213679,,,
1800,5.72E+08,0.087,1.50E+07,-0.999311605,,,
1820,4.66E+08,0.094,1.20E+07,-0.99933628,,,
1840,3.05E+08,0.092,1.78E+07,-0.996584149,,,
1860,4.77E+08,0.09,9408373.242,-0.999610257,,,
1880,4.16E+08,0.092,4.16E+07,-0.990010802,,,
1900,3.46E+08,0.089,2.06E+07,-0.996457998,,,
1920,4.15E+08,0.093,1.46E+07,-0.998763075,,,
1940,6.39E+08,0.088,2.37E+07,-0.998625269,,,
1960,4.83E+08,0.089,1.55E+07,-0.998970638,,,
1980,3.41E+08,0.092,3.22E+07,-0.991099334,,,
2000,7.49E+08,0.086,3.51E+07,-0.997801456,,,
2020,4.58E+08,0.088,1.65E+07,-0.998701385,,,
2040,3.04E+08,0.088,3.51E+07,-0.986681913,,,
2060,8.94E+08,0.091,2.32E+07,-0.999326569,,,
2080,5.77E+08,0.095,4.19E+07,-0.994723825,,,
2100,6.03E+08,0.09,2.52E+07,-0.998256375,,,
2120,4.77E+08,0.093,1.97E+07,-0.99829243,,,
2140,5.69E+08,0.091,3.42E+07,-0.996382871,,,
2160,7.58E+08,0.089,2.33E+07,-0.999055238,,,
2180,3.27E+08,0.094,1.42E+07,-0.998117918,,,
