id, d, s,c,score,,,
950,2681675.836,0.015,2851771.978,0.130881338,,,
960,2049896.293,0.015,2244049.361,0.198397877,,,
970,9518475.172,0.015,1951695.446,-0.957957422,,,
980,3834331.899,0.015,3006522.626,-0.38517779,,,
990,1812789.287,0.017,4179213.766,4.314892923,,,
1000,4759310.133,0.016,2680367.522,-0.682823734,,,
1001,3.50E+08,0.101,6980325.459,-0.999601115,,,
1020,1.95E+08,0.094,8486804.91,-0.998104917,,,
1040,2.12E+08,0.101,6286661.537,-0.999116543,,,
1060,5.09E+08,0.098,1.24E+07,-0.999406064,,,
1080,2.63E+08,0.103,5977299.86,-0.999485207,,,
1100,3.91E+08,0.098,8866485.637,-0.999485593,,,
1120,1.51E+08,0.095,9181844.075,-0.996312534,,,
1140,2.84E+08,0.101,6507533.802,-0.999473538,,,
1160,8.43E+08,0.1,1.36E+07,-0.999739842,,,
1180,3.56E+08,0.103,5060466.117,-0.99979757,,,
1200,4.57E+08,0.102,7375648.495,-0.999740092,,,
1220,4.91E+08,0.096,1.18E+07,-0.999422996,,,
1240,2.92E+08,0.099,1.06E+07,-0.998679207,,,
1260,5.77E+08,0.097,1.58E+07,-0.999249199,,,
1280,2.75E+08,0.103,3981796.839,-0.999791106,,,
1300,3.00E+08,0.1,9659310.184,-0.998963603,,,
1320,4.03E+08,0.101,1.05E+07,-0.999321111,,,
1340,3.43E+08,0.099,1.51E+07,-0.998064824,,,
1360,2.84E+08,0.101,8658899.244,-0.999072148,,,
1380,5.62E+08,0.099,9403196.361,-0.999720003,,,
1400,5.86E+08,0.1,1.28E+07,-0.999523353,,,
1420,2.43E+08,0.098,1.01E+07,-0.998278916,,,
1440,3.60E+08,0.101,9378419.03,-0.999321963,,,
1460,6.42E+08,0.096,1.23E+07,-0.99963291,,,
1480,7.23E+08,0.1,8117617.141,-0.999873875,,,
1500,5.52E+08,0.097,1.63E+07,-0.999129492,,,
1520,4.21E+08,0.1,8816856.109,-0.999561511,,,
1540,5.58E+08,0.101,8093298.636,-0.99978957,,,
1560,1.02E+09,0.1,2.18E+07,-0.999543025,,,
1580,5.63E+08,0.097,2.08E+07,-0.998634972,,,
1600,8.07E+08,0.1,1.11E+07,-0.999810736,,,
1620,4.49E+08,0.096,1.03E+07,-0.999473018,,,
1640,5.32E+08,0.099,1.06E+07,-0.999603121,,,
1660,6.53E+08,0.095,3.27E+07,-0.99748852,,,
1680,1.00E+09,0.097,1.19E+07,-0.999858665,,,
1700,9.12E+08,0.098,2.03E+07,-0.99950453,,,
1720,3.97E+08,0.1,1.16E+07,-0.99914682,,,
