id, d, s,c,score,,,
960,4029606.541,0.015,2244049.361,-0.689873037,,,
970,4863948.497,0.015,1951695.446,-0.838992479,,,
980,5498307.827,0.014,3006522.626,-0.701000232,,,
990,2828320.23,0.016,4179213.766,1.183393494,,,
1000,6318099.861,0.014,2680367.522,-0.820023533,,,
1001,2.47E+08,0.091,6980325.459,-0.999198466,,,
1020,1.27E+08,0.09,8486804.91,-0.995536605,,,
1040,1.96E+08,0.118,6286661.537,-0.998971408,,,
1060,3.88E+08,0.093,1.24E+07,-0.998976214,,,
1080,1.35E+08,0.096,5977299.86,-0.998044631,,,
1100,3.16E+08,0.094,8866485.637,-0.999213626,,,
1120,1.66E+08,0.093,9181844.075,-0.996925682,,,
1140,1.61E+08,0.096,6507533.802,-0.998365608,,,
1160,6.26E+08,0.091,1.36E+07,-0.999527715,,,
1180,1.52E+08,0.097,5060466.117,-0.998892815,,,
1200,1.74E+08,0.098,7375648.495,-0.998201482,,,
1220,3.73E+08,0.09,1.18E+07,-0.999001292,,,
1240,2.51E+08,0.09,1.06E+07,-0.99822106,,,
1260,3.66E+08,0.091,1.58E+07,-0.998140486,,,
1280,1.81E+08,0.094,3981796.839,-0.9995182,,,
1300,1.86E+08,0.094,9659310.184,-0.997311303,,,
1320,2.86E+08,0.092,1.05E+07,-0.998655915,,,
1340,3.35E+08,0.094,1.51E+07,-0.997974002,,,
1360,2.66E+08,0.093,8658899.244,-0.998944204,,,
1380,3.06E+08,0.094,9403196.361,-0.999054262,,,
1400,4.69E+08,0.088,1.28E+07,-0.999253898,,,
1420,2.06E+08,0.093,1.01E+07,-0.997591812,,,
1440,3.41E+08,0.095,9378419.03,-0.99924457,,,
1460,4.42E+08,0.095,1.23E+07,-0.999224641,,,
1480,5.50E+08,0.095,8117617.141,-0.999782257,,,
1500,3.88E+08,0.093,1.63E+07,-0.998236004,,,
1520,3.63E+08,0.091,8816856.109,-0.999408882,,,
1540,3.87E+08,0.096,8093298.636,-0.999563331,,,
1560,6.20E+08,0.091,2.18E+07,-0.998763028,,,
1580,4.94E+08,0.09,2.08E+07,-0.998229723,,,
1600,5.28E+08,0.092,1.11E+07,-0.999558304,,,
1620,2.74E+08,0.09,1.03E+07,-0.998591828,,,
1640,4.69E+08,0.089,1.06E+07,-0.999489923,,,
1660,5.22E+08,0.091,3.27E+07,-0.996075376,,,
1680,5.58E+08,0.09,1.19E+07,-0.999545385,,,
1700,5.25E+08,0.091,2.03E+07,-0.998506377,,,
1720,3.76E+08,0.091,1.16E+07,-0.999046993,,,
1740,3.05E+08,0.087,2.72E+07,-0.992055617,,,
1760,5.11E+08,0.089,2.53E+07,-0.997549412,,,
1780,4.07E+08,0.092,1.53E+07,-0.998589476,,,
1800,3.98E+08,0.091,1.50E+07,-0.998582001,,,
1820,4.17E+08,0.092,1.20E+07,-0.999173303,,,
1840,3.27E+08,0.089,1.78E+07,-0.997044133,,,
1860,6.73E+08,0.09,9408373.242,-0.999804354,,,
1880,3.57E+08,0.09,4.16E+07,-0.986455264,,,
1900,3.15E+08,0.089,2.06E+07,-0.995722306,,,
1920,5.37E+08,0.089,1.46E+07,-0.999261829,,,
1940,6.14E+08,0.088,2.37E+07,-0.998510281,,,
1960,5.68E+08,0.092,1.55E+07,-0.999255898,,,
1980,4.52E+08,0.093,3.22E+07,-0.994915674,,,
2000,6.99E+08,0.088,3.51E+07,-0.99747498,,,
2020,5.58E+08,0.102,1.65E+07,-0.999124119,,,
2040,4.16E+08,0.088,3.51E+07,-0.992897751,,,
2060,8.60E+08,0.091,2.32E+07,-0.999272308,,,
2080,5.10E+08,0.089,4.19E+07,-0.993257199,,,
2100,6.68E+08,0.091,2.52E+07,-0.998575326,,,
2120,4.30E+08,0.097,1.97E+07,-0.997898505,,,
2140,5.61E+08,0.099,3.42E+07,-0.996281755,,,
2160,8.55E+08,0.091,2.33E+07,-0.999257122,,,
2180,3.86E+08,0.096,1.42E+07,-0.998643671,,,
2200,6.04E+08,0.103,2.15E+07,-0.998731778,,,
2220,6.70E+08,0.09,1.89E+07,-0.999205104,,,
2240,9.61E+08,0.087,3.19E+07,-0.998897616,,,
2260,7.96E+08,0.094,1.81E+07,-0.999482867,,,
2280,7.63E+08,0.087,2.63E+07,-0.998810722,,,
2300,1.05E+09,0.093,3.32E+07,-0.998990813,,,
2320,7.99E+08,0.097,2.21E+07,-0.999234667,,,
2340,6.82E+08,0.089,2.96E+07,-0.998117479,,,
2360,8.07E+08,0.091,2.00E+07,-0.999386035,,,
2380,5.51E+08,0.09,1.27E+07,-0.999467928,,,
2400,6.44E+08,0.09,1.62E+07,-0.99936641,,,
2420,1.05E+09,0.091,3.85E+07,-0.998642685,,,
2440,6.82E+08,0.092,2.69E+07,-0.998445417,,,
2460,9.81E+08,0.089,2.27E+07,-0.999464857,,,
2480,7.23E+08,0.088,3.54E+07,-0.99759981,,,
2500,6.46E+08,0.096,3.42E+07,-0.99719663,,,
2520,1.18E+09,0.09,2.32E+07,-0.99961479,,,
2540,7.10E+08,0.087,2.09E+07,-0.999133985,,,
2560,7.94E+08,0.091,1.90E+07,-0.999428098,,,
2580,9.68E+08,0.091,6.09E+07,-0.996045716,,,
2600,5.57E+08,0.09,2.12E+07,-0.998549708,,,
2620,8.74E+08,0.089,3.11E+07,-0.998732706,,,
2640,6.41E+08,0.088,4.66E+07,-0.99471157,,,
2660,7.06E+08,0.092,3.63E+07,-0.997355145,,,
2680,7.52E+08,0.087,3.72E+07,-0.997555019,,,
2700,8.51E+08,0.088,3.91E+07,-0.997890793,,,
2720,7.70E+08,0.089,2.55E+07,-0.998903889,,,
2740,7.53E+08,0.086,3.53E+07,-0.997805189,,,
2760,9.73E+08,0.091,5.52E+07,-0.996779366,,,
2780,7.74E+08,0.087,5.42E+07,-0.995099921,,,
2800,7.67E+08,0.093,2.06E+07,-0.99927896,,,
2820,7.84E+08,0.089,2.27E+07,-0.999162662,,,
2840,5.99E+08,0.087,3.41E+07,-0.99675862,,,
2860,1.20E+09,0.089,5.83E+07,-0.997628915,,,
2880,1.03E+09,0.09,2.98E+07,-0.999169586,,,
2900,8.96E+08,0.088,2.94E+07,-0.99892307,,,
2920,7.25E+08,0.087,3.68E+07,-0.997425405,,,
2940,8.73E+08,0.087,5.11E+07,-0.996577377,,,
2960,1.20E+09,0.091,4.60E+07,-0.99854144,,,
2980,7.64E+08,0.091,3.49E+07,-0.99791152,,,
3000,1.08E+09,0.092,4.16E+07,-0.998514205,,,
3020,8.99E+08,0.087,6.28E+07,-0.995118574,,,
3040,1.20E+09,0.089,3.89E+07,-0.99894168,,,
3060,6.79E+08,0.093,4.71E+07,-0.99518159,,,
3080,8.37E+08,0.091,3.20E+07,-0.998539403,,,
3100,1.11E+09,0.088,4.79E+07,-0.998151377,,,
3120,8.96E+08,0.093,5.27E+07,-0.996539411,,,
3140,1.10E+09,0.089,6.57E+07,-0.996404622,,,
3160,1.04E+09,0.089,3.98E+07,-0.998538278,,,
3180,7.79E+08,0.087,5.96E+07,-0.994146997,,,
3200,7.53E+08,0.094,5.10E+07,-0.995415707,,,
3220,7.77E+08,0.093,4.73E+07,-0.99629329,,,
3240,7.80E+08,0.09,3.49E+07,-0.997998075,,,
3260,1.10E+09,0.088,6.34E+07,-0.996701435,,,
3280,6.88E+08,0.089,4.67E+07,-0.995386104,,,
3300,1.10E+09,0.09,6.09E+07,-0.996935998,,,
3320,9.60E+08,0.103,4.72E+07,-0.997582277,,,
3340,9.33E+08,0.093,4.82E+07,-0.997329514,,,
3360,1.19E+09,0.086,4.41E+07,-0.998615638,,,
3380,9.74E+08,0.094,4.76E+07,-0.997611252,,,
3400,1.20E+09,0.095,4.56E+07,-0.998549203,,,
3420,8.24E+08,0.088,3.13E+07,-0.998557822,,,
3440,7.94E+08,0.092,5.70E+07,-0.994850717,,,
3460,8.39E+08,0.088,8.63E+07,-0.989407626,,,
3480,1.22E+09,0.087,5.84E+07,-0.997725544,,,
3500,1.14E+09,0.088,5.66E+07,-0.99753107,,,
3520,1.09E+09,0.089,5.81E+07,-0.997172887,,,
3540,6.49E+08,0.092,5.38E+07,-0.99313183,,,
3560,1.17E+09,0.088,5.68E+07,-0.997628733,,,
3580,1.05E+09,0.086,3.87E+07,-0.998643569,,,
3600,6.80E+08,0.092,4.74E+07,-0.995134467,,,
3620,9.96E+08,0.09,6.92E+07,-0.995176412,,,
3640,1.18E+09,0.092,5.56E+07,-0.997765413,,,
3660,4.62E+08,0.09,6.49E+07,-0.980241981,,,
3680,8.86E+08,0.088,5.25E+07,-0.996488748,,,
3700,6.68E+08,0.091,6.14E+07,-0.991545611,,,
3720,8.41E+08,0.087,7.19E+07,-0.99269138,,,
3740,1.17E+09,0.09,6.37E+07,-0.997033034,,,
3760,9.28E+08,0.091,8.32E+07,-0.991967127,,,
3780,1.39E+09,0.086,5.03E+07,-0.998692908,,,
3800,1.11E+09,0.087,7.26E+07,-0.995708853,,,
3820,1.14E+09,0.086,5.63E+07,-0.99755642,,,
3840,1.37E+09,0.091,4.24E+07,-0.999048371,,,
3860,1.20E+09,0.089,7.94E+07,-0.995606784,,,
3880,7.23E+08,0.088,6.97E+07,-0.990709864,,,
3900,9.49E+08,0.091,5.93E+07,-0.996098546,,,
3920,7.62E+08,0.086,5.74E+07,-0.994318465,,,
3940,1.29E+09,0.086,6.37E+07,-0.997578923,,,
3960,9.43E+08,0.091,7.35E+07,-0.993929276,,,
3980,4.59E+08,0.093,6.04E+07,-0.982710144,,,
4000,3.68E+08,0.099,8.58E+07,-0.945513548,,,
4020,1.37E+09,0.086,7.43E+07,-0.997048741,,,
4040,8.45E+08,0.09,8.43E+07,-0.990041723,,,
4060,1.05E+09,0.09,6.12E+07,-0.996618502,,,
4080,1.12E+09,0.087,7.96E+07,-0.994964021,,,
4100,1.26E+09,0.089,5.54E+07,-0.998058057,,,
4120,1.08E+09,0.085,8.67E+07,-0.99352052,,,
4140,8.11E+08,0.088,7.88E+07,-0.990567535,,,
4160,4.09E+08,0.09,6.87E+07,-0.971755246,,,
4180,1.04E+09,0.087,6.92E+07,-0.995531368,,,
4200,5.53E+08,0.092,7.74E+07,-0.980423494,,,
4220,9.30E+08,0.088,8.55E+07,-0.991549932,,,
4240,1.12E+09,0.091,6.78E+07,-0.996309989,,,
4260,7.81E+08,0.091,5.73E+07,-0.994616574,,,
4280,1.03E+09,0.086,7.91E+07,-0.994158578,,,
4300,1.35E+09,0.089,6.89E+07,-0.997391701,,,
4320,7.65E+08,0.087,8.71E+07,-0.987041319,,,
4340,1.09E+09,0.087,6.30E+07,-0.996640431,,,
4360,1.29E+09,0.088,7.80E+07,-0.996368728,,,
4380,1.21E+09,0.085,5.77E+07,-0.997734099,,,
4400,9.01E+08,0.088,7.48E+07,-0.993107225,,,
4420,1.07E+09,0.089,7.03E+07,-0.995721533,,,
4440,1.21E+09,0.085,7.82E+07,-0.995836172,,,
4460,1.10E+09,0.089,8.47E+07,-0.994027438,,,
4480,9.14E+08,0.088,6.56E+07,-0.994848619,,,
4500,7.28E+08,0.094,8.54E+07,-0.986221204,,,
4520,8.93E+08,0.083,6.81E+07,-0.994187488,,,
4540,1.16E+09,0.088,8.79E+07,-0.994262757,,,
4560,1.07E+09,0.087,9.48E+07,-0.992091329,,,
4580,6.97E+08,0.087,7.74E+07,-0.987672973,,,
4600,1.20E+09,0.087,6.01E+07,-0.997507836,,,
4620,9.37E+08,0.088,7.22E+07,-0.994057411,,,
4640,6.28E+08,0.091,1.08E+08,-0.970446005,,,
4660,1.08E+09,0.09,6.92E+07,-0.995879598,,,
4680,7.00E+08,0.086,8.19E+07,-0.986322492,,,
4700,9.20E+08,0.089,7.12E+07,-0.994010866,,,
4720,1.49E+09,0.087,5.79E+07,-0.998494302,,,
4740,1.09E+09,0.088,8.67E+07,-0.993720803,,,
4760,8.11E+08,0.088,7.84E+07,-0.990647703,,,
4780,8.17E+08,0.085,9.41E+07,-0.986727517,,,
4800,9.06E+08,0.089,7.71E+07,-0.992765709,,,
4820,8.04E+08,0.102,1.03E+08,-0.983569317,,,
4840,6.58E+08,0.091,9.25E+07,-0.980232187,,,
4860,1.44E+09,0.086,6.46E+07,-0.997979337,,,
4880,9.78E+08,0.087,7.68E+07,-0.99383368,,,
4900,1.04E+09,0.088,7.49E+07,-0.994844674,,,
4920,9.74E+08,0.088,7.55E+07,-0.993994652,,Score:,
4940,8.75E+08,0.091,7.34E+07,-0.992963194,,-181.329185,
4960,5.71E+08,0.09,8.52E+07,-0.977751325,,,
4980,9.39E+08,0.088,8.40E+07,-0.991995463,,Total time:,
5000,8.18E+08,0.088,1.29E+08,-0.975105563,,19.661,seconds
,,,,,,0.327683333,minutes
