id, d, s,c,score,,,
950,3878690.774,0.018,2851771.978,-0.459420863,,,
960,2352626.236,0.018,2244049.361,-0.090172751,,,
970,7189056.146,0.018,1951695.446,-0.926297818,,,
980,2520952.808,0.018,3006522.626,0.42232722,,,
990,2066649.206,0.021,4179213.766,3.089362784,,,
1000,1849710.172,0.019,2680367.522,1.099816405,,,
1001,3.33E+08,0.112,6980325.459,-0.999559672,,,
1020,1.16E+08,0.117,8486804.91,-0.99464282,,,
1040,1.92E+08,0.116,6286661.537,-0.998924141,,,
1060,4.37E+08,0.116,1.24E+07,-0.99919393,,,
1080,1.76E+08,0.117,5977299.86,-0.998843021,,,
1100,3.22E+08,0.117,8866485.637,-0.999239907,,,
1120,2.16E+08,0.113,9181844.075,-0.998194814,,,
1140,1.01E+08,0.118,6507533.802,-0.995818012,,,
1160,7.28E+08,0.119,1.36E+07,-0.999650567,,,
1180,2.54E+08,0.125,5060466.117,-0.99960392,,,
1200,4.67E+08,0.121,7375648.495,-0.999750509,,,
1220,3.53E+08,0.112,1.18E+07,-0.998881624,,,
1240,2.60E+08,0.117,1.06E+07,-0.99833772,,,
1260,3.13E+08,0.112,1.58E+07,-0.997451828,,,
1280,2.71E+08,0.115,3981796.839,-0.999783816,,,
1300,3.23E+08,0.117,9659310.184,-0.999106874,,,
1320,4.28E+08,0.114,1.05E+07,-0.999399196,,,
1340,3.34E+08,0.14,1.51E+07,-0.997960546,,,
1360,2.92E+08,0.115,8658899.244,-0.999118041,,,
1380,2.33E+08,0.122,9403196.361,-0.998377216,,,
1400,4.55E+08,0.112,1.28E+07,-0.999207536,,,
1420,2.28E+08,0.111,1.01E+07,-0.998034696,,,
1440,3.11E+08,0.113,9378419.03,-0.999092402,,,
1460,4.52E+08,0.11,1.23E+07,-0.999258908,,,
1480,5.40E+08,0.116,8117617.141,-0.999774011,,,
1500,5.92E+08,0.113,1.63E+07,-0.999240973,,,
1520,3.37E+08,0.112,8816856.109,-0.999314805,,,
1540,4.60E+08,0.114,8093298.636,-0.999690451,,,
1560,7.14E+08,0.111,2.18E+07,-0.999066639,,,
1580,4.49E+08,0.112,2.08E+07,-0.99785758,,,
1600,6.69E+08,0.114,1.11E+07,-0.999725017,,,
1620,3.88E+08,0.112,1.03E+07,-0.999294941,,,
1640,4.75E+08,0.11,1.06E+07,-0.999502141,,,
1660,5.83E+08,0.114,3.27E+07,-0.996855139,,,
1680,6.57E+08,0.131,1.19E+07,-0.999672399,,,
1700,8.08E+08,0.125,2.03E+07,-0.999369098,,,
1720,3.60E+08,0.132,1.16E+07,-0.998962702,,,
1740,2.92E+08,0.115,2.72E+07,-0.991307157,,,
1760,6.55E+08,0.125,2.53E+07,-0.998508605,,,
1780,5.95E+08,0.12,1.53E+07,-0.999338216,,,
1800,5.69E+08,0.134,1.50E+07,-0.999303974,,,
1820,4.62E+08,0.126,1.20E+07,-0.999324693,,,
1840,4.19E+08,0.115,1.78E+07,-0.998199332,,,
1860,6.24E+08,0.119,9408373.242,-0.999772369,,,
1880,4.09E+08,0.112,4.16E+07,-0.989674098,,,
1900,3.57E+08,0.115,2.06E+07,-0.996668493,,,
1920,6.01E+08,0.109,1.46E+07,-0.999410662,,,
1940,8.49E+08,0.111,2.37E+07,-0.999220438,,,
1960,6.57E+08,0.112,1.55E+07,-0.999443418,,,
1980,5.06E+08,0.112,3.22E+07,-0.99595285,,,
2000,6.75E+08,0.108,3.51E+07,-0.997292752,,,
2020,9.41E+08,0.111,1.65E+07,-0.999692731,,,
2040,4.54E+08,0.112,3.51E+07,-0.994034119,,,
2060,8.83E+08,0.112,2.32E+07,-0.999310429,,,
2080,7.40E+08,0.114,4.19E+07,-0.996789777,,,
