id, d, s,c,score,,,
950,5819458.263,0.017,2851771.978,-0.759860015,,,
960,3768221.551,0.015,2244049.361,-0.645356542,,,
970,7152498.656,0.015,1951695.446,-0.925542487,,,
980,2541334.816,0.017,3006522.626,0.399604018,,,
990,4539382.188,0.015,4179213.766,-0.152390778,,,
1000,2138549.538,0.018,2680367.522,0.570905514,,,
1001,2.77E+08,0.102,6980325.459,-0.999366224,,,
1020,1.61E+08,0.095,8486804.91,-0.997212532,,,
1040,8.45E+07,0.096,6286661.537,-0.994461153,,,
1060,3.78E+08,0.096,1.24E+07,-0.998922354,,,
1080,1.38E+08,0.104,5977299.86,-0.998128061,,,
1100,3.60E+08,0.1,8866485.637,-0.999392653,,,
1120,1.56E+08,0.1,9181844.075,-0.996519442,,,
1140,2.46E+08,0.105,6507533.802,-0.999301286,,,
1160,8.95E+08,0.113,1.36E+07,-0.999768924,,,
1180,1.67E+08,0.109,5060466.117,-0.999087069,,,
1200,1.66E+08,0.112,7375648.495,-0.998036915,,,
1220,4.27E+08,0.099,1.18E+07,-0.999235244,,,
1240,2.33E+08,0.097,1.06E+07,-0.997938932,,,
1260,3.85E+08,0.096,1.58E+07,-0.998315432,,,
1280,2.94E+08,0.126,3981796.839,-0.999817125,,,
1300,2.27E+08,0.101,9659310.184,-0.998193746,,,
1320,2.97E+08,0.098,1.05E+07,-0.998753996,,,
1340,3.73E+08,0.102,1.51E+07,-0.998364193,,,
1360,3.89E+08,0.103,8658899.244,-0.99950473,,,
1380,2.86E+08,0.096,9403196.361,-0.998917321,,,
1400,4.99E+08,0.1,1.28E+07,-0.999342905,,,
1420,2.64E+08,0.102,1.01E+07,-0.998532916,,,
1440,3.32E+08,0.1,9378419.03,-0.999202981,,,
1460,5.75E+08,0.095,1.23E+07,-0.999542538,,,
1480,5.33E+08,0.105,8117617.141,-0.999767687,,,
1500,4.12E+08,0.095,1.63E+07,-0.998433721,,,
1520,2.49E+08,0.098,8816856.109,-0.998750224,,,
1540,4.13E+08,0.1,8093298.636,-0.999616575,,,
1560,8.51E+08,0.098,2.18E+07,-0.999343257,,,
1580,4.32E+08,0.094,2.08E+07,-0.997677839,,,
1600,5.31E+08,0.125,1.11E+07,-0.999563168,,,
1620,3.41E+08,0.094,1.03E+07,-0.999088262,,,
1640,4.73E+08,0.095,1.06E+07,-0.999497657,,,
1660,5.48E+08,0.093,3.27E+07,-0.996435404,,,
1680,9.42E+08,0.099,1.19E+07,-0.999840321,,,
1700,7.47E+08,0.096,2.03E+07,-0.999261221,,,
1720,4.55E+08,0.096,1.16E+07,-0.999349495,,,
1740,3.66E+08,0.094,2.72E+07,-0.994471717,,,
1760,4.38E+08,0.094,2.53E+07,-0.9966621,,,
1780,5.57E+08,0.095,1.53E+07,-0.999246166,,,
1800,4.05E+08,0.091,1.50E+07,-0.998629145,,,
1820,3.88E+08,0.098,1.20E+07,-0.999041648,,,
1840,4.61E+08,0.093,1.78E+07,-0.998506572,,,
1860,5.42E+08,0.095,9408373.242,-0.999698184,,,
1880,2.23E+08,0.098,4.16E+07,-0.965112996,,,
1900,4.41E+08,0.093,2.06E+07,-0.997819483,,,
1920,6.20E+08,0.098,1.46E+07,-0.999445325,,,
1940,7.81E+08,0.094,2.37E+07,-0.999079763,,,
1960,5.72E+08,0.096,1.55E+07,-0.999265535,,,
1980,5.35E+08,0.094,3.22E+07,-0.996380769,,,
2000,5.66E+08,0.092,3.51E+07,-0.996153432,,,
2020,5.14E+08,0.093,1.65E+07,-0.998967972,,,
2040,5.05E+08,0.09,3.51E+07,-0.995165359,,,
2060,1.17E+09,0.098,2.32E+07,-0.99960626,,,
2080,2.37E+08,0.099,4.19E+07,-0.968783193,,,
2100,4.32E+08,0.097,2.52E+07,-0.996604303,,,
2120,5.48E+08,0.096,1.97E+07,-0.998709502,,,
2140,5.93E+08,0.097,3.42E+07,-0.996670894,,,
2160,1.02E+09,0.094,2.33E+07,-0.999475881,,,
2180,4.02E+08,0.095,1.42E+07,-0.998751655,,,
2200,6.93E+08,0.095,2.15E+07,-0.999036115,,,
2220,5.21E+08,0.093,1.89E+07,-0.998686426,,,
2240,9.98E+08,0.094,3.19E+07,-0.99897775,,,
2260,6.44E+08,0.094,1.81E+07,-0.999209946,,,
2280,9.97E+08,0.097,2.63E+07,-0.99930445,,,
2300,1.11E+09,0.092,3.32E+07,-0.999099404,,,
2320,5.61E+08,0.096,2.21E+07,-0.9984473,,,
2340,7.61E+08,0.092,2.96E+07,-0.99848797,,,
2360,7.14E+08,0.091,2.00E+07,-0.999215863,,,
2380,6.96E+08,0.096,1.27E+07,-0.999667021,,,
2400,7.46E+08,0.091,1.62E+07,-0.999527922,,,
2420,8.52E+08,0.095,3.85E+07,-0.997957674,,,
2440,6.45E+08,0.094,2.69E+07,-0.998260851,,,
2460,9.08E+08,0.096,2.27E+07,-0.999375301,,,
2480,1.06E+09,0.092,3.54E+07,-0.998879067,,,
2500,7.75E+08,0.093,3.42E+07,-0.998055064,,,
2520,9.53E+08,0.096,2.32E+07,-0.999406839,,,
2540,5.26E+08,0.091,2.09E+07,-0.998422367,,,
2560,9.00E+08,0.096,1.90E+07,-0.999554524,,,
2580,6.16E+08,0.1,6.09E+07,-0.990213188,,,
2600,7.80E+08,0.093,2.12E+07,-0.99926042,,,
2620,7.58E+08,0.094,3.11E+07,-0.998318162,,,
2640,5.53E+08,0.093,4.66E+07,-0.992899935,,,
2660,5.61E+08,0.098,3.63E+07,-0.995808936,,,
2680,6.18E+08,0.09,3.72E+07,-0.996377533,,,
2700,1.13E+09,0.096,3.91E+07,-0.998809811,,,
2720,9.71E+08,0.117,2.55E+07,-0.999309742,,,
2740,6.89E+08,0.092,3.53E+07,-0.997377322,,,
2760,9.35E+08,0.096,5.52E+07,-0.996513452,,,
2780,9.16E+08,0.093,5.42E+07,-0.996495819,,,
2800,8.87E+08,0.096,2.06E+07,-0.999461211,,,
2820,7.70E+08,0.093,2.27E+07,-0.999130582,,,
2840,7.22E+08,0.094,3.41E+07,-0.997772317,,,
2860,1.24E+09,0.093,5.83E+07,-0.997797243,,,
2880,1.00E+09,0.111,2.98E+07,-0.999115123,,,
2900,9.29E+08,0.095,2.94E+07,-0.998998187,,,
2920,1.20E+09,0.089,3.68E+07,-0.999052138,,,
2940,8.16E+08,0.097,5.11E+07,-0.996082822,,,
2960,1.18E+09,0.092,4.60E+07,-0.99848008,,,
2980,9.81E+08,0.097,3.49E+07,-0.998733291,,,
3000,9.02E+08,0.094,4.16E+07,-0.997874783,,,
3020,1.05E+09,0.093,6.28E+07,-0.996410776,,,
3040,1.15E+09,0.094,3.89E+07,-0.998847192,,,
3060,7.49E+08,0.097,4.71E+07,-0.996041504,,,
3080,9.75E+08,0.1,3.20E+07,-0.998921717,,,
3100,1.07E+09,0.094,4.79E+07,-0.998011501,,,
3120,1.23E+09,0.093,5.27E+07,-0.998154741,,,
3140,1.18E+09,0.091,6.57E+07,-0.996917423,,,
3160,1.27E+09,0.095,3.98E+07,-0.999020916,,,
3180,8.89E+08,0.091,5.96E+07,-0.995503751,,,
3200,1.01E+09,0.094,5.10E+07,-0.997471389,,,
3220,6.13E+08,0.096,4.73E+07,-0.99404593,,,
3240,7.28E+08,0.092,3.49E+07,-0.997702549,,,
3260,8.89E+08,0.093,6.34E+07,-0.994918123,,,
3280,7.58E+08,0.093,4.67E+07,-0.996206173,,,
3300,9.59E+08,0.092,6.09E+07,-0.995970162,,,
3320,1.09E+09,0.093,4.72E+07,-0.998134296,,,
3340,1.19E+09,0.092,4.82E+07,-0.998348665,,,
3360,1.04E+09,0.089,4.41E+07,-0.998190064,,,
3380,1.02E+09,0.095,4.76E+07,-0.997807394,,,
3400,1.21E+09,0.092,4.56E+07,-0.998571853,,,
3420,1.06E+09,0.093,3.13E+07,-0.999131458,,,
3440,7.61E+08,0.093,5.70E+07,-0.994382515,,,
3460,1.14E+09,0.089,8.63E+07,-0.994291678,,,
3480,1.36E+09,0.096,5.84E+07,-0.998161976,,,
3500,1.29E+09,0.092,5.66E+07,-0.998088768,,,
3520,1.32E+09,0.093,5.81E+07,-0.998054426,,,
3540,6.59E+08,0.095,5.38E+07,-0.993330774,,,
3560,1.22E+09,0.091,5.68E+07,-0.997849356,,,
3580,1.27E+09,0.095,3.87E+07,-0.999073776,,,
3600,9.52E+08,0.096,4.74E+07,-0.997523492,,,
3620,1.01E+09,0.093,6.92E+07,-0.995285062,,,
3640,1.08E+09,0.097,5.56E+07,-0.997365963,,,
